name,party,person_id,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21,vote_22,vote_23,vote_24,vote_25,vote_26,vote_27,vote_28,vote_29,vote_30,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30
"Algis Padvelskis","Lietuvos centro partija",1384,4,4,1,1,1,1,1,1,4,1,4,4,1,4,1,4,1,4,2,4,1,1,4,4,4,3,2,1,1,2,"Tai būdas skatinti kainų didėjimą ir mažinantis atlygio skirtumą tarp kvalifikuoto ir nekvalifikuoto darbo.","Toks mokesčių didinimas mažins mokesčių surinkimą ir didins paramos gavimo poreikį","Valstybės naštos mažinimui – paslaugų perdavimas privačiam sektoriui.","Tiek, kad nebūtų sumažintos socialinės garantijos","Pirmiausia PVM kaip ir kiti mokesčiai turi reguliuoti ir skatinti ekonomiką, o ne būtinybė išgyventi","Nuo to verslas ir valstybė būtų sveikesnis","Minimalus ribojimas skatintų naujas darbo vietas ir didesnius atlygius","Tai turi būti ilgalaikiai, tiksliniai įsipareigojimai","Ne bausmės griežtumas, o neišvengiamumas yra būtinas","Būtinas papildomas įrašas užsieniečiui ir jo gimtąja kalba","Tai tik skatintų neteisėtą alkoholio gamybą ir vartojimą","Jeigu tai susiję su verslo ar darbo santykiais","Tai turi būti griežtai ribojami pagal įstatymą","Išskyrus tuos atvejus, kur galimos ilgalaikės neigiamos pasekmės","Nepažeidžiant vaikų interesų","Pirmiausia tai yra moters ir šeimos interesas","Tai mūsų istorija, kuri turėtų nepasikartoti ir  nebūti užmiršta","Geriau saugi, kontroliuojama atominė elektrinė, negu blogi santykiai","Kad nepamirštume istorijos","Nes tai nepakankamos priemonės","Turime ir tai nepamiršt, kad nepasikartotų istorija","Tai būtina pagal prisiimtus įsipareigojimus","Jau per vėlu, panašiai kaip ir iš kitų okupantų","Vertinkime ir šios dienos tolimesnes pasekmes Lietuvai","Tai turi būti net skatinama","Išskyrus turintiems nuopelnų Lietuvai","Netinkami valdžios sprendimai padidino socialinę nelygybę ir emigraciją","Tai turi būti tik abipusiu susitarimo pagrindu","Tik išrinkti turi valdyti šalį","Tai turėtų būti rinkėjams alternatyvus balsavimo būdas"
"Alvydas Dirsė","Lietuvos centro partija",1066,2,3,2,4,2,2,4,4,2,4,2,3,3,4,4,4,4,2,4,1,4,1,2,4,4,4,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arturas Juškauskas","Lietuvos centro partija",400,3,3,3,2,2,3,4,3,0,1,2,3,1,4,4,0,4,3,0,3,2,2,2,3,4,2,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artūras Tamkutonis","Lietuvos centro partija",1350,1,4,1,1,1,1,4,1,4,1,1,1,1,4,1,4,4,1,4,1,4,1,2,4,4,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arūnas Kriaučiūnas","Lietuvos centro partija",1411,1,3,3,4,4,4,4,4,4,4,1,3,4,1,4,4,2,4,2,2,1,4,3,3,1,1,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arūnas Simonaitis","Lietuvos centro partija",1355,2,3,1,4,1,3,4,1,1,1,2,1,1,4,4,3,4,3,3,4,3,4,1,3,1,1,2,2,1,1,,"Reikia racionaliau naudoti dabar surenkamus mokesčius.","Daug viešojo sektoriaus darbuotojų atlieka paslaugas, kurios nėra būtinos, bei keičiant sistemą, galima jų atsisakyti.","Ekonominėms krizėms reikia ruoštis iš anksto ir turėti tam numatytus fondus.","Visiems maisto produktams turi būti mažinamas PVM.","Nes monopolistai daro kartelinius susitarimus.","Samdomas darbuotojas taip pat privalo būti gerbiamas pilietis ir jo teises, kaip silpnesniosios pusės, turi ginti valstybė.","Valstybė privalo skatinti elektromobilių įsigijimą,
saulės, bei vėjo gaminamos elektros energijos jėgaines.","Ypatingai korumpuotiems politikams ir valdininkams.","Civilizuoti žmonės privalo vieni kitus gerbti ir dėl to nereikia kurti bereikalingos įtampos šalies viduje su tautinėmis mažumomis. Svarbu, kad piliečiai jaustusi konfortabiliai.","Reikėtu pasirinkti pasiteisinusias praktikas kitose vakarų šalyse.","Imigracija iš trečiųjų šalių mažoms tautoms, kaip Lietuvai yra pavojinga dėl saugumo ir nutautėjimo.
Jeigu tikrai norime ir galime joms padėti, tai padėkime skiriant paramą jiems išgyventi, jų šalyje.","Niekas nėra apsaugotas nuo per didelio kišimosi į privatų gyvenimą, netgi prisidengiant gražiais šūkiais apie visuomenės saugumą.","Demokratija grindžiama žodžio laisve ir piliečiai privalo būti išklausomi, bei atsižvelgiama į jų pageidavimus.","Privatu gyvenimą gali kiekvienas pasirinkti individualiai, tačiau valstybės politika turi būti orientuota į santuokas, bei partnerystes teoriškai potencialiai tarpusavyje produktyvių asmenų sąjungą nepaisant jų amžiaus.","Būna nestandartinių atvejų, kai šie klausimai kyla dėl išprievartavimų ar moters sveikatos.","Kaip gamtoje, taip ir žmonių gyvenime privalo nuolatos vykti atsinaujinimas. Muziejinėmis vertybėmis galime grožėtis muziejuose.","Mes galime tarptautiniu lygmeniu reikalauti šios elektrinės saugios technologijos, saugios eksploatacijos. Priešinimas jos statybai, tai kišimasis į kaimyninės valstybės reikalus.","Viešas atributikos naudojimas gali žeisti daugeli žmonių dėl istorinių nuoskaudų. privačių kolekcijų turėjimas tai asmens laisvė.","Nėra protingos ekonominės sankcijos, dėl kurių mes nukenčiame daugiau, nei Rusija.","Nėra vienareikšmio atsakymo, nes priklauso į kurias sritis ir kaip pažvelgsime.","Nes šiuolaikinės ginkluotės ir technologijos yra kitokio lygio , kurių mes, kaip maža tauta nepajėgtume įsigyti kaip (taktonis ginklas, psichologinis, klimatinis, palydovinis branduolinis ir kt.) Mūsų perkama ginkluotė tinkama, tik vietinių riaušių malšinimui, bei verslas ją gaminančioms ir parduodančioms šalims.","Kadangi Rusija yra Sovietų Sąjungos teisinė paveldėtoja, tai privalo atsakyti ir už Sovietų padarytą žalą Lietuvai.","Todėl, kad mes prieš karą buvome okupuoti.","Pakanka norinčiųjų tarnauti profesionalioje kariuomenėje ir tai krašto apsaugą daro patikimesne.","Tai ženklas, kad mes savo tautiečius palaikome ir paliekame teisę dalyvauti Lietuvos gyvenime, bei rinkimuose renkant valdžią.","Mes netekome teisės kurti savo fiskalinę politiką ir taip praradome dalį nepriklausomybės.","Lietuva nėra prisidėjusi prie pirminių konfliktų tose šalyse, kas ir išprovokavo pabėgėlių srautus.","Tai matau, kai demokratiškesni rikimų būdą be to toks yra Lietuvos piliečių pageidavimas.","Tai tikrai nedidintu neskaidrių rinki, gal net atvirkščiai. Jeigu internetinis balsavimas turėtu rizikos, tai mes privalėtume uždrausti internetine bankininkyste, kai nepatikima, nes tai tokia pati programa. Internetinis balsavimas suteiktu daugiau galimybių balsavimuose mūsų emigrantams."
"Asta Musteikienė","Lietuvos centro partija",1414,1,4,1,2,1,0,4,3,1,0,1,2,1,2,0,0,4,0,0,3,1,4,1,0,1,2,1,1,0,2,"Esame europos sajungoje taciau prekiu ir atlyginimu sumu atzvilgiu velkames gale.","Ne nes zmones ir taip jau per daug apkrauti mokesciais.","Manau kad paslaugu nesumazetu tik valstybes biudzetas padidetu.","Tikriausiai taip-tik tuos dirzus turetu verztis visi nuo paprasto darbuotojo iki auksciausio ir pagal pajamas.Kad likusios zmogaus pajamos nenukristu iki nustatytos skurdo ribos.","Manau kad biudzeto iplaukos del to bent jau labai nesumazetu padidetu perkamumas.","Siuo klausimu susilaikau.","Imones gali piktnaudziauti sia padetim.Paprastas darbuotojas ir taip engiamas darbdaviu.","Lietuva turi atsistoti ant koju kad kiekvienas dirbantis ir ne tik gyventu oriai-tada jau daugiau demesio skirt ir tokiem dalykam.","Labai daznai ivygdzius sunku nusikaltima atsiperkama lengva bausme.","Nemanau kad tai labai aktualus ir svarbus dalykas.","Manau tik taip galetume sumazinti alkoholizma .","Kol negalim gerai pasirupinti savu Lietuvos pilieciu tol susilaikykim ir su imigracija.","Tik iskirtinais atvejais kai to reikia uztikrinti visuomenes saugumui.","Turetu buti daugiau budu zmogui pasisakyti  ne tik per protesto akcijas.Taipogi turi buti atsizvelgta ir i zmoniu norus bei nuomones.","Jei jiems tai tinka as nepriestarauju.","As palikciau tai nuspresti paciai moteriai.","Laikas eina miestai tobuleja senienas i muzieju tai liecia zaliojo tilto skulpturas.","As asameniskai pries atomines elektrines salia Lietuvos .","Uztenka Lietuviskos simbolikos.Aisku kaip ta sovietine simbolika pateikiama.?","Maziau jieskokim priesu kur ju nera.","Ziurint bent jau i mazesnius Lt miestus tai pastatai islike tik sovietiniai.Per visus nepriklausomybes metus mazai kas statesi padejo tik europos sajungos lesos kurias reiks grazint.","Nemanau kad tai padetu karo atveju.","Jei zala padarei ja ivertinus reikia ir atlyginti.","Nebent del geresniu santykiu su Rusija is mandagumo.","Manau turetu uztekti savanoriu.Tik mokymosi istaigose galetu buti karinis mokymas kaip anksciau.",,"Nezmoniskai isaugo daugelio prekiu ir paslaugu kainos.Atlyginimai pakito nezymiai.","Reikia ziureti daugiau Lt zmones kol visi dar neismire ir neemigravo.","Palikciau si klausima Lt zmonems.","Galetu lengviau balsuoti uzsienyje gyvenantys Lietuviai"
"Audrius Kubiliūnas","Lietuvos centro partija",1370,1,4,1,2,1,4,3,1,4,1,4,2,4,4,0,4,4,1,4,3,1,1,2,3,4,1,4,3,4,1,"Minimali alga iš karto negali būti padidinta iki 600 eurų, bet privalomai turi būti didinama kiekvienais metais, kad artėtume prie Europos sąjungos vidurkio.","Tikrai ne, nes mokesčiai Lietuvoje ir taip dideli. Reikia mažinti socialinę atskirtį, didinti mokesčius daug gaunantiems, ir mažinti minimalų užmokestį gaunantiems gyventojams.","Tik tais  taip, ir ne kitaip. Viešajame sektoriuje dirba per daug žmonių, kurie ir taip neatlieka savo tiesioginių pareigų, sumažinus skaičių pagerėtų darbo kokybė ir liktų daugiau pinigų valstybei, kuri galėtų juos panaudoti socialinei padėčiai gerinti Lietuvoje.","Diržus reikia veržtis todėl, kad pinigai yra netinkamai panaudojami. Pirmiausia reikia pradėti nuo to, kad sumažinti korupciją ir kad visos biudžeto įplaukos būtų sąžiningai ir tvarkingai valdomos, kad visi pinigai būtų tinkamai paskirstomi ten kur reikia, Lietuvos žmonių labui.","Maisto produktai Lietuvoje labai brangūs, dėl to prisideda ir aukštas PVM, mano manymu PVM reikia mažinti iki 18%, o 21% palikti alkoholio ir tabako prekėms.","Reguliuoti turi, bet protingai. Šiuo metu esama situacija yra vieniems per daug, kitiems iš vis nieko, reikia daryti prielaidas skaidrumui gerinti.","Darbuotojai turi būti vertinami ir saugomi. Turėtų priimti įstatymus naudingus abiems pusėms.","Viskas turi eiti į priekį, reikia dėti pastangas gerinti ir gamtos sąlygas pasaulyje, kad ateityje nebūtų dar daugiau rūpesčių dėl klimato kaitos.","Tikrai ne, ne nuo to galo pradėtume. Reikia skatinti sąžiningumą Lietuvoje, ir didinti pasitikėjimą visų socialinių sluoksnių. Kaip Lietuvos žmonės bus sąžiningi, jei mato tokį pavyzdį iš valdžios, kur tiesiog dominuoja korupcija.","Aš pritarčiau, nematau tame nieko blogo.","Tikrai ne, nes dar labiau pablogintų verslo situacija Lietuvoje. Siūlyčiau kelti akcizą alkoholio produktams.","Nors ir nepritarčiau tokiam siūlymui, bet manau kad tai neišvengiama, jei nesusigrąžinsim iš užsienio savų žmonių, nes paskutiniu metu darbo jėga Lietuvoje labai sumažėjo ir jei mažės tokiais tempais toliau turėsime dar blogesnę verslo situacija.","Kas norėtų kad bet kas galėtų klausyti jo telefoninių pokalbių? Aišku kad niekas, todėl balsuočiau už privatumą.","Protestus daro žmonės kurie nėra patenkinti esama padėtimi, todėl reikia spręsti tokius klausimus ir atsigręžti į žmonių pusę, o ne ignoruoti.",,"Aš už tai, kad žmogus galėtų laisvai apsispręsti ir priimti sprendimą.",,"Manau kad taip, bet jau per vėlu, reikėjo tai daryti prieš tai.","Mes jau seniai atsiribojome nuo sovietų sąjungos, todėl būtina ja uždrausti.","Klausimas ar tai padėtų? Jei Rusija nesiskaito su didžiausiomis pasaulio valstybėmis, tai mums sulaukti dėmesio būtų beviltiška. Manau reikia palaikyti diplomatinius santykius ir stengtis nesipykti, nes tai gali atsigręžti prieš mus pačius.","Beabejo kad taip.","Būtent kad taip, turime ruoštis blogiausiems galimiems variantams.",,"Jei kviestų tai taip, bet nekviestiems dalyvauti neverta. Manau pati prezidentė turi priimti sprendimą  tuo klausimu.","Turi būti sudaromos geresnės sąlygoms savanoriams, kurie tai darytų savo noru, niekeno neverčiami.","Tikrai taip.","Tikrai ne. Negalime būti statiški ir likti prie lito visą gyvenimą. Tai didelis žingsnis į priekį, kuris duos dar geresnių permainų ateityje.","Būdami Europos sąjungoje turime atsižvelgti į bendras problemas ir stengtis padėti tai išspręsti, o ne ieškoti priežasčių kodėl tai padaryti negalime.",Nebūtinai.,"Pritarčiau tokiam siūlymui, nes viskas krypsta į elektroninę pusę."
"Augustas Vichrovas","Lietuvos centro partija",1422,2,3,1,2,1,3,2,1,1,0,1,4,1,4,0,0,1,0,4,3,0,3,0,2,4,1,1,3,0,4,"Minimali alga privalo būti didinama, tačiau visa našta negali būti perduodama verslui. Prie to privalo prisidėti ir valdžia. Mokesčiú mažinimu verslui ar kitais būdais","Būtina išplėsti socialinę parama ir paslaugas tačiau ne mokesčiú didinimu.","Manau jog yra galimybė sumažinti viešojo sektoriaus darbuotojú skaičiú nemažinant valstybės teikiamú paslaugú skaičiaus.","50/50. Galbūt geriau veržtis diržus tačiau skolinantis būtú galima greičiau įveikti krizę.",,,"Verslo atžvilgiu nėra teisinga jog darbuotojas gali būti atleidžiamas tik kraštutiniais atvejais. Galėtú būti ir daugiau atvejú kada galima atleisti, taip pat nenuskriaudžiant ir darbuotojo.","Kiekvienam reikia pradėti nuo savęs. Tačiau prie to privalo prisidėti ir valstybė.",,,"Privalo būti tik specializuotos parduotuvės. Kurios taip pat dirbtu tik labai trumpa laiko tarpa darbo dienomis.","Kaip mes ieškome laimės svetur ir tikimės jog mus priims, tai taip ir mes privalome elgtis. Tačiau turi atitikti tam tikrus reikalavimus. Švari praeitis ir t.t.",,"Žmonės turi pilná teisę taikiu būdu išreikšti savo nuomonę.",,,,,,,,,,,,,,,,
"Darius Tamulionis","Lietuvos centro partija",1341,3,4,1,3,1,1,3,2,1,1,3,3,2,4,4,3,4,1,4,2,4,1,1,4,4,1,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edvardas Michaliovas","Lietuvos centro partija",1372,4,4,1,0,4,4,1,4,4,4,4,4,1,4,1,0,4,1,4,1,4,1,1,1,4,1,1,1,0,1,"Minimalią algą didinkime atsižvelgiant į Lietuvos ekonomikos būklę ir numatomas tendencijas. Realias pajamas Lietuvos piliečiams galima padidinti didinant neapmpokętinamų pajamų dydį.","Mokesčių didinimas skatins imigraciją ir investicijų mažėjimą.","Valstybė turėtų dalį savo teikiamų paslaugų patikėti privačiam sektoriui.","Esmė yra ne tame skolintis ar veržtis diržus.Svarbu yra kieno sąskaita veržiami diržai ir kokiomis sąlygomis imamos paskolos.","PVM lengvtos iškreiptų rinką ir nėra jokių garantijų kad lengvatos sumažintų kainas. Didinkime neapmokestinamas pajamas tik šitaip padėsime mažiausiai uždirbantiems.","Valstybė privalo nustatyti šalies ekonomikos strategiją ir užduoti plėtros kryptį.Nuo pasirinktos strategijos priklauso valstybinis ekonomikos reguliavimo lygis ir metodai.","Manau atėjo metas iš esmės pradėti diskusiją apie verslo sąlygas Lietuvoje.Stambieji verslai jau išsiregistravo iš Lietuvos.Smulkus ir vidutinis verslas neturi perspektyvų.Koks verslas yra pajėgus   įvairių mokesčių pavidalu sumokėti 50 procentų nuo pajamų?","Klimato kaitą lemia žemės raidos ciklų kaita ir didžiųjų valstybių veiksmai arba neveikimas.","Kriminalogijos mokslas įrodė,kad bausmių griežtinimas neturi lemiamo poveikio nusikaltimų skaičiui.Daug svarbiau yra prevencinis darbas ir nepalanki nusikaltimams aplinka.","Lietuviai išsibarstę po visą pasaulį, tačiau nėra valstybės kuri išduodamuose dokumentuose rašytų lietuviškas raides su nosinėmis.","Alkoholis turėtų būti parduodamas specializuotose parduotuvėse.Pradžiai užtektų prekybos centre suformuoti atskiras patalpas skirtas alkoholio prekybai.Negerai kai vaikai mato šalia maisto produktų ir alkoholį.Taip formuojamas alkoholio kaip būtino atributo įvaizdis.","Solidarumo vardan priimkime keletą šimtų imigrantų.","Privataus gyvenimo ribojimas reglamentuotas įstatymuose.Baudžiamosios teisės rėmuose yra pakankamai priemonių užtikrinti visuomenės saugumą.","Viešo protesto ribojimas yra tiesioginis demokratijos ribojimas.","Tos pačios lyties asmenų porų problemas išspręskime civilinės teisės pagalba.Reikalinga išspręsti tokių porų turtinius ir teisinius klausimus.","Šio klausimo ir su šiuo klausimu susijusių įstatymų neteko studijuoti.","Tik neseniai nuimtos sovietinės skulptūros mums byloja apie mūsų kaip nepriklausomos tautos brandos lygį.Nepriklausomybės pradžioje nebuvo priimtas esminis antisovietizacijos įstatymų paketas.Net po ketvirčio amžiaus sovietinių simbolių pajudinimas sukelia diskusijas.","Politikai pramiegojo laiką kuomet savo veiksmais galėjo įtakoti Astravo atominės elektrinės likimą.Šiuo metu liko bendradarbiaujant su Europos Sąjunga reikalauti,kad būtų užtikrintas atominei elektrinei atitinkamas saugumo lygis.","Sovietinę simboliką reikalinga drausti taip pat kaip ir nacistinę.",,"Sovietmetis išplėšė Lietuvą iš Europos valstybių rato ir sunaikino geriausius žmones.Mano senelį Viekšnių gydytoją Edvardą Panceržinskį, mano močiutę Viekšnių siuvėją Mariją Panceržinskienę ir mano mamą, kuriai buvo 14 metų, sovietinė sistema išvežė į Sibirą.Viekšniuose tremties išvengė girtuokliai, tinginiai ir sovietinei valdžiai įsiteikę asmenys.","1939 m. Suomijos karas su Rusija parodė,kad maža valstybė gali pasipriešinti.","Sovietinė žala yra akivaizdi.Palyginkime Lietuvą ir šalis nepatekusias į sovietinę zoną.","Dialogas ir bendradarbiavimas su kaimyne Rusija yra reikalingas. Dalyvavimas minėjime neužkerta kelio reikalauti atlyginti okupacijos padarytą žalą.Manau nedalyvavimas parodo mūsų silpnumą.","Lietuvai trūksta karinių pajėgumų.Reikalingos abi kariuomenės rūšys - šauktinių ir profesionalų.",,,,"Esant neskaidriai rinkimų sistemai nėra svarbu kaip renkami Seimo nariai.Pakeitus formą turinys nepasikeis.","Internetinis balsavimas be abejo sumažintu rinkimų neskaidrumą."
"Egidijus Drėzas","Lietuvos centro partija",1374,1,1,1,4,1,4,4,1,1,3,1,1,3,3,3,2,3,1,3,3,3,1,1,3,4,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giedrius Gataveckas","Lietuvos centro partija",1345,4,4,1,2,1,4,4,2,1,4,4,1,4,1,4,4,4,1,4,1,4,1,1,4,4,1,4,1,3,1,"Nes pabloginus sąlygas, verslas visai pasitrauks iš Lietuvos","Valstybė turėtų sumažinti valdininkų kiekį, pažaboti korupciją viešuose pirkimuose, štai ir atsiranda papildomų pinigų soc. paramai, verslo skatinimui",,,,"Valstybė turėtų tramdyti godaus verslo viršpelnius",,,"Ypač ekonominiams ir korupciniams nusikaltimams",,"Draudimais nieko nepasieksi",,,,,,,,"Sovietinė simbolika turi būti draudžiama",,,"Kas nemaitina savos kariuomenės, šeria svetimą kariuomenę",,,"Tai pigiausias būdas paruošti rezervo karius",,,,,
"Gitana Nevulienė","Lietuvos centro partija",1387,2,4,1,4,1,2,4,1,1,1,1,2,3,4,4,2,3,1,3,2,2,2,3,3,4,1,2,2,1,3,"Lietuvoje mokesčiai dideli, tačiau nesigilinama, kur jie panaudojami, ką , mokantys mokesčius žmonės už tai gauna. Lietuvoje trūksta atskaitomybės iš valdžios institucijų ir socialinio atsakingumo iš darbdavių pusės. Rimtas darbdavys turėtų būti suinteresuotas, kad jo įmonėje dirbantys darbuotojai uždirbtų ir pragyventų Lietuvoje. Jeigu verslo pagrindinis tikslas yra pelnas darbuotojo sąskaita - blogas verslininkas. Bet reikia ieškoti kompromiso - mokesčiai turi koreliuoti su abipuse nauda - darbdaviui turi apsimokėti mokėti didesnį atlyginimą darbuotojui.","Labai svarbu, kur yra išleidžiamos turimos lėšos - už tuos pačius pinigus gali nupirkti aprangą pareigūnams arba auksinius samčius. Veikia tikslingumas ir naudingumas, jeigu tikslas apgauti kitus ir pasipelnyti, tai ir didesni mokesčiai bus išleisti beprasmiams dalykams.","Viešojo sektoriaus įstaigos labai dažnai dubliuoja viena kitos funkcijas, paslaugos ne visuomet kokybiškos, todėl būtina apibrėžti kas už ką atsakingas ir kiek gali reikalauti iš piliečių ar verslo atstovų.","Taip kaip buvo vykdoma 2009 m. - tikrai ne. Valdžios atstovai turėjo solidarizuotis ir visų pirma ieškoti, kas mažiausiai pajustų tokios politikos padarinius. Skolos Lietuvai liko, o kiek žmonių emigravo to pasekoje?","Taip, pagrindiniams produktams turėtų būti kitoks PVM dydis, mažesnis. Turėdami daugiau lėšų, žmonės pirks kitus produktus, daiktus ir pinigai sugrįš kitų mokesčių pavidalu. Padidės vartojimas kitokių prekių.",,,,"Bet reikia būti principingiems visų rūšių nusikaltėlių atžvilgiu.","Lietuvių kalba yra gyva, kintanti. Joje nunyko senos vartosenos žodžiai, atsirado naujų. Raidynas taip pat yra lotyniškas, ir gerbiant visų Lietuvos piliečių nuomonę, reikėtų keletos atjauninimų bent šiais atvejais.",,,,"Valdžia turi dirbti juos išrinkusių labui, bet ne atsiriboti, negirdėti, užgniaužti kitokią nuomonę.",,"Moters prigimtis yra suteikti gyvybę ir teisė auginti oriomis sąlygomis vaikus. Visų pirma reikia keisti požiūrį ta linkme, o ne skatinti ištvirkavimą, iškreipiant moralines vertybes ir didinant sexo industrijos produkcijos vartojimą.","Gali būti eksponuojamos Grūto parke.","Baltarusijos sprendimas yra agresyvus ir pavojingas mums ir mes turime gintis.","Nereikėtų kelti aistrų ir įtampos dėl kitokios nuomonės išsakymo.","Lietuva turi vykdyti ES politiką Rusijos atžvilgiu.","Sovietmečiu buvo visko - buvo daug žmonių sunaikinta, sugriauti likimai, bet buvo ir plėtra. Mes negalim nieko sugrąžinti atgal - tik įvertinti ir eiti į priekį.",,,,,,"Sąlyginai taip - pabrango maisto produktai, bet apsinuogino mūsų pūliuojanti žaizda - atlyginimas už darbą.",,,
"Irutė Gedutienė","Lietuvos centro partija",1376,2,1,1,2,2,2,4,2,1,3,1,3,3,4,4,4,2,2,3,1,2,2,3,4,3,1,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jolanta Keburienė","Lietuvos centro partija",1406,1,4,1,3,1,1,4,1,1,1,1,1,2,4,2,4,3,3,3,4,2,3,1,4,3,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonas Juknius","Lietuvos centro partija",1371,3,4,1,4,1,4,4,1,1,4,1,1,1,4,4,1,3,1,4,2,2,1,1,4,4,4,1,1,1,1,"Pagal Valstybes isgales.","Reikia sunaikinti korupcija ir ivesti solidarumo mokiasti.","Reikia labiau kontrolioti valdininku darbo kokybe.","Jeigu skolintis tai uz palankius procentus.","Pajamu reikia ieskoti kitur.","Kai kuriais klausimais.","Tai pazeis Zmogaus teises.","Tai svarbu zmonijos egzistavimui.",,,,,,,,,,,,,,,,,,,,,,
